,XETHZEUR_price,volume
2017-05-25 10:40:27.454200000,175.00000,5.31357000
2017-05-25 10:40:27.462400000,175.00000,0.38100890
2017-05-25 10:40:27.467800000,175.00000,0.16411318
2017-05-25 10:40:27.474000000,175.00000,0.02951962
2017-05-25 10:40:27.480500000,175.00000,1.62195640
2017-05-25 10:40:27.486700000,175.00000,0.06210000
2017-05-25 10:40:27.496000000,175.00000,10.74367550
2017-05-25 10:40:27.506300000,175.00000,0.06210000
2017-05-25 10:40:27.517700000,175.00000,1.62195640
2017-05-25 10:40:37.248600000,175.00000,2.00000000
2017-05-25 10:40:43.478000000,175.29999,2.01743800
2017-05-25 10:40:44.997500000,175.00001,0.14720774
2017-05-25 10:40:45.019800000,175.00000,0.35279226
2017-05-25 10:40:45.223800000,175.00000,0.01020000
2017-05-25 10:40:47.852600000,175.29998,3.76932393
2017-05-25 10:40:47.886800000,175.49979,7.53864787
2017-05-25 10:40:47.903700000,175.50000,12.06212117
2017-05-25 10:41:21.377600000,175.00000,10.00018642
2017-05-25 10:41:21.387500000,175.00000,0.03083919
2017-05-25 10:41:21.393400000,175.00000,7.41816487
2017-05-25 10:41:21.399400000,175.00000,2.55080952
2017-05-25 10:41:32.455300000,175.00002,0.12990000
2017-05-25 10:41:38.117800000,175.49988,0.47969200
2017-05-25 10:41:54.069500000,175.00001,0.92810000
2017-05-25 10:41:54.094900000,175.00002,0.01930000
2017-05-25 10:41:54.109800000,175.49988,1.88741000
2017-05-25 10:42:00.972000000,175.00000,0.00100000
2017-05-25 10:42:00.981000000,175.00000,0.00035454
2017-05-25 10:42:01.623700000,175.00001,0.01930000
2017-05-25 10:42:06.230000000,175.29999,0.02340000
2017-05-25 10:42:11.419700000,175.49976,5.50053990
2017-05-25 10:42:11.438600000,175.49985,2.75026995
2017-05-25 10:42:11.456600000,175.49988,0.67625930
2017-05-25 10:42:11.471200000,175.49999,1.54284000
2017-05-25 10:42:11.485500000,175.50000,5.60843523
2017-05-25 10:42:11.491700000,175.50000,1.00000000
2017-05-25 10:42:11.688800000,175.97287,0.50000000
2017-05-25 10:42:16.349100000,175.50000,0.10000000
2017-05-25 10:42:17.240500000,175.50000,5.00000000
2017-05-25 10:42:17.257799999,175.29999,1.66230000
2017-05-25 10:42:22.307500000,175.20000,2.83481000
2017-05-25 10:42:23.950000000,175.20000,0.00100000
2017-05-25 10:42:31.774100000,175.00011,0.03583393
2017-05-25 10:42:32.249100000,175.00011,0.05350419
2017-05-25 10:42:32.254900000,175.00011,5.48340000
2017-05-25 10:42:32.259400000,175.00011,2.14074626
2017-05-25 10:42:32.272800000,175.00010,10.94817682
2017-05-25 10:42:32.287300000,175.00000,6.37417273
2017-05-25 10:42:34.585700000,175.20000,1.28760000
2017-05-25 10:42:35.689600000,175.20000,11.10000000
2017-05-25 10:42:41.074200000,175.20000,2.83481000
2017-05-25 10:42:49.476200000,175.00012,0.04210202
2017-05-25 10:42:49.493600000,175.00001,5.00000000
2017-05-25 10:42:50.089100000,175.00000,5.00000000
